,date,review,rating
3,2023-12-31 05:16:57,휴대폰을 바꾸면서 토스계정에 다시 로그인하려 하는데 다른 은행 계좌를 알려달라 하네요.. 토스계정을 차라리 다시 만드려고 해도 만들수가 없네요…,3
4,2023-12-30 02:10:17,토스카드 이새끼들은 왜 맨날 아침댓바람부터 전화질인지… 필요해서 재발급 한 건데 잠이나 깨우고 너무 괘씸하네요 어떻게 든 잠인데 ㅋㅋ 요즘 배달도 비대면으로 하는 판인데 이름이며 생년월일이며 사인까지 너무 불편해요 그런 정보들 이미 카드 받을 때 다 적잖아요? 그리고 확인한답시고 생판 모르는 사람한테 확인하는 것도 거지같고요 내 개인정보를 왜… 보내야하는지 아침부터 빅엿을 주셨네요 감사합니다,1
5,2023-12-29 17:14:05,다른 카드 사용하거나 계좌 사용하는 것도 문제 없고 다 좋습니다만..카드 재발급하거나 새로 신청할 때 수수료가 너무 비싸요ㅠㅠ 그리고 카드 택배가 드럽게오래걸려요…(빠르면 2주일 안에 와요..) 이것들만 고쳐주시면 아주 좋은 앱입니다! 추천!👍,4
6,2023-12-28 07:11:42,"“고객의 의견을 반영해서,고객의 편의를 위해서 ”
기가 찹니다. 그냥 솔직하게 “회사 재정에 부담이 돼서 포인트 적립 정책을 변경합니다”라고 하자. 안 창피하나요? 직원들도 자존감 떨어지겠네요",1
7,2023-12-28 04:36:23,"다음달 카드 결제예상금액 나오는 위젯 만들어주세여 ㅜ
소비 줄이는데 도움이 될 것 같아요",5
8,2023-12-28 04:07:05,포인트 줄이는 건 뭐 그렇다쳐도 사용자들이 원해서 바꿨다고 뜰 때마다 좀 황당해요 놀림당하는 느낌이에요 글고 라이브 쇼핑 2초 지나서 들어갔는데도 1원 받을 때도 좀 웃기고 짜증 나요… 1~3원에 농락당하는 기분…… 송금이나 그런 서비스는 확실히 편해요 근데 포인트 제도가 점점 빡치게 만들어요……,4
9,2023-12-28 01:25:43,"서비스 관련 문의은 앱 개발과 무관해서 불평해봐야 의미없어요.

근데 용량이 갈 수록 늘어요. 카뱅이랑 누가 더 무거워지나 경쟁하는 것도 아니고요.
나중에는 저용량 기기는 받지도 못하겠네요.
좀 다이어트 해줘요.",4
10,2023-12-26 12:35:59,친구랑 토스를 켜서 10원 받는 혜택을 들어가려고 했는데 계속 로딩이 걸려서요ㅜ 어떻게 해결방법은 없을까요?,5
11,2023-12-26 07:48:37,"ios의 경우 건강 앱과 연동된다고 적혀있는데 왜 매번 건강앱의 걸음 수보다 적게 나오는지 알 수가없어요
토스에서 만보 채우려면 만 이천보 이상 걸어야 채워져요 ㅠㅠㅠㅠ",2
12,2023-12-25 11:47:22,어제 깔아서 오늘 친구들이랑 놀앗는데 진짜 너무 좋거든요!! 근데 궁금한게 있는데 토스 모의주식인가..? 그게 주식을 사도 0원을 벌었습니다 하고 0% 이렇게 나오더라구요.. 오류인가요??,5
13,2023-12-24 16:48:52,"계좌 전체에 얼마 들어있나 한눈에 보여서 너무 좋아요
금전 관리 계획 세우기 너무 편합니다",5
14,2023-12-23 13:47:29,"토스뱅크로 여러사업자 통장을 진행해보려 합니다
일단 기본계좌 1개만 가능해서 모임통장으로 만들었는데 보여지는 화면이나 동의얻어야 송금하는것. 꺼내기 채우기 명칭 등이 기존 토스뱅크처럼 동일했으면 더 좋을거 같네요. 

그리고 통장 이모티콘에 자신이 원하는 사진을 넣을수 있다면 훨씬 좋을거 같네요. 토스는 꾸미는 재미가 있어서요.",5
15,2023-12-23 06:54:45,비바리퍼블리카는 토스 앱 내에서 토스피드를 볼 수 있도록 앱을 개선해주셨으면 좋겠습니다. 홈페이지에서 볼때도 광고가 없는점에서 차라리 토스피드를 앱에 론칭하여 더 많은 사람들이 경제정보를 얻기위해 들어오도록 유도하고 거기에 광고를 넣는다면 더 많은 수익이 생기지 않을까 싶습니다. 물론 sns에도 토스피드가 있지만 그 인사이트를 홈 그라운드 그리고 토스가 만들어낸 글씨체 앱 ui 내에서 읽고 싶습니다. 그리고 사람들이 토스의 다양한 기능이지만 잘 모르는 기능을 토스피드와 함께 제공한다면 앱 사용자가 소폭 증가하지 않을까 생각합니다.,5
